country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Ethiopia,Unemployment rate by sex and age,Female,15-24,Youth,2020,8.107,96611.0
Ethiopia,Unemployment rate by sex and age,Female,25+,Adults,2020,3.716,96611.0
Ethiopia,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.096,96611.0
Ethiopia,Unemployment rate by sex and age,Male,15-24,Youth,2020,4.337,96611.0
Ethiopia,Unemployment rate by sex and age,Male,25+,Adults,2020,2.225,96611.0
Ethiopia,Unemployment rate by sex and age,Male,Under 15,Children,2020,2.871,96611.0
Fiji,Unemployment rate by sex and age,Female,15-24,Youth,2020,25.252,4432.0
Fiji,Unemployment rate by sex and age,Female,25+,Adults,2020,2.47,4432.0
Fiji,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.956,4432.0
Fiji,Unemployment rate by sex and age,Male,15-24,Youth,2020,13.3,4432.0
Fiji,Unemployment rate by sex and age,Male,25+,Adults,2020,2.452,4432.0
Fiji,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.117,4432.0
Finland,Unemployment rate by sex and age,Female,15-24,Youth,2020,19.361,269784.0
Finland,Unemployment rate by sex and age,Female,25+,Adults,2020,5.933,269784.0
Finland,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.488,269784.0
Finland,Unemployment rate by sex and age,Male,15-24,Youth,2020,22.915,269784.0
Finland,Unemployment rate by sex and age,Male,25+,Adults,2020,6.065,269784.0
Finland,Unemployment rate by sex and age,Male,Under 15,Children,2020,8.008,269784.0
France,Unemployment rate by sex and age,Female,15-24,Youth,2020,20.688,2645806.0
France,Unemployment rate by sex and age,Female,25+,Adults,2020,6.8,2645806.0
France,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.953,2645806.0
France,Unemployment rate by sex and age,Male,15-24,Youth,2020,20.33,2645806.0
France,Unemployment rate by sex and age,Male,25+,Adults,2020,6.783,2645806.0
France,Unemployment rate by sex and age,Male,Under 15,Children,2020,8.063,2645806.0
Gabon,Unemployment rate by sex and age,Female,15-24,Youth,2020,46.658,15364.0
